Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,HBIPS-2 Measure Description,HBIPS-2 Overall Num,HBIPS-3 Measure Description,HBIPS-3 Overall Num,HBIPS-5 Measure Description,HBIPS-5 Denominator,SUB-2/-2a Measure Description,SUB-2 Denominator,TOB-2/-2a Measure_Desc,TOB-2 Denominator,FUH Measure Description,FUH-30 %,READM-30-IPF Measure Desc,READM-30-IPF Category,Location
100084,UF HEALTH LEESBURG HOSPITAL,600 E DIXIE AVE,LEESBURG,FL,34748,LAKE,Hours of physical-restraint use,0,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Alcohol use brief intervention provided or offered,41,Tobacco use treatment provided or offered,44,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,71.4,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"600 E DIXIE AVE LEESBURG, FL 34748 (28.806579, -81.869113)"
171375,MITCHELL COUNTY HOSPITAL HEALTH SYSTEMS,"400 W 8TH STREET, P O BOX 399",BELOIT,KS,67420,MITCHELL,Hours of physical-restraint use,0.17,Hours of seclusion use,0.13,Patients discharged on multiple antipsychotic medications with appropriate justification,17,Alcohol use brief intervention provided or offered,Not Available,Tobacco use treatment provided or offered,Not Available,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,21.1,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"400 W 8TH STREET, P O BOX 399 BELOIT, KS 67420 (39.466499, -98.114235)"
454076,HARRIS CTY PSYCHIATRIC CTR,2800 MACGREGOR WAY,HOUSTON,TX,77021,HARRIS,Hours of physical-restraint use,30.52,Hours of seclusion use,760.55,Patients discharged on multiple antipsychotic medications with appropriate justification,12,Alcohol use brief intervention provided or offered,246,Tobacco use treatment provided or offered,458,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,39.2,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Worse Than the National Rate,"2800 MACGREGOR WAY HOUSTON, TX 77021 (29.712554, -95.375593)"
220024,HOLYOKE MEDICAL CENTER,575 BEECH STREET,HOLYOKE,MA,1040,HAMPDEN,Hours of physical-restraint use,4.86,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,23,Alcohol use brief intervention provided or offered,66,Tobacco use treatment provided or offered,331,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,68.6,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"575 BEECH STREET HOLYOKE, MA 01040 (42.199616, -72.627087)"
180048,EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,217 SOUTH THIRD STREET,DANVILLE,KY,40422,BOYLE,Hours of physical-restraint use,0,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,16,Alcohol use brief intervention provided or offered,Not Available,Tobacco use treatment provided or offered,Not Available,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"217 SOUTH THIRD STREET DANVILLE, KY 40422 (37.643818, -84.772638)"
250060,JEFFERSON COUNTY HOSPITAL,870 S MAIN,FAYETTE,MS,39069,JEFFERSON,Hours of physical-restraint use,Not Available,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,243,Alcohol use brief intervention provided or offered,Not Available,Tobacco use treatment provided or offered,123,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,66.1,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,
314019,RAMAPO RIDGE PSYCH HOSP,301 SICOMAC AVE,WYCKOFF,NJ,7481,BERGEN,Hours of physical-restraint use,1.8,Hours of seclusion use,1.27,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Alcohol use brief intervention provided or offered,67,Tobacco use treatment provided or offered,93,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,76.2,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"301 SICOMAC AVE WYCKOFF, NJ 07481 (40.98457, -74.171489)"
40029,CONWAY REGIONAL HEALTH SYSTEM,2302 COLLEGE AVENUE,CONWAY,AR,72034,FAULKNER,Hours of physical-restraint use,0,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Alcohol use brief intervention provided or offered,Not Available,Tobacco use treatment provided or offered,Not Available,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"2302 COLLEGE AVENUE CONWAY, AR 72034 (35.084826, -92.457103)"
420002,PIEDMONT MEDICAL CENTER,222 S HERLONG AVE,ROCK HILL,SC,29730,YORK,Hours of physical-restraint use,2.8,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Alcohol use brief intervention provided or offered,54,Tobacco use treatment provided or offered,109,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,32,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"222 S HERLONG AVE ROCK HILL, SC 29730 (34.955198, -81.05125)"
54155,"BAKERSFIELD BEHAVIORAL HEALTHCARE HOSPITAL, LLC",5201 WHITE LANE,BAKERSFIELD,CA,93309,KERN,Hours of physical-restraint use,30.95,Hours of seclusion use,176.36,Patients discharged on multiple antipsychotic medications with appropriate justification,32,Alcohol use brief intervention provided or offered,55,Tobacco use treatment provided or offered,141,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,33.1,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"5201 WHITE LANE BAKERSFIELD, CA 93309 (35.318043, -119.060478)"
380018,ASANTE ROGUE REGIONAL MEDICAL CENTER,2825 E BARNETT ROAD,MEDFORD,OR,97504,JACKSON,Hours of physical-restraint use,9.31,Hours of seclusion use,85.56,Patients discharged on multiple antipsychotic medications with appropriate justification,18,Alcohol use brief intervention provided or offered,130,Tobacco use treatment provided or offered,238,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,45.9,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"2825 E BARNETT ROAD MEDFORD, OR 97504 (42.316483, -122.830443)"
240038,ALLINA UNITED HOSPITAL,333 NORTH SMITH AVENUE,SAINT PAUL,MN,55102,RAMSEY,Hours of physical-restraint use,4939.89,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,18,Alcohol use brief intervention provided or offered,Not Available,Tobacco use treatment provided or offered,Not Available,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,57.9,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"333 NORTH SMITH AVENUE SAINT PAUL, MN 55102 (44.94185, -93.108302)"
251318,NORTH SUNFLOWER MEDICAL CENTER CAH,840 NORTH OAK AVENUE,RULEVILLE,MS,38771,SUNFLOWER,Hours of physical-restraint use,0,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,16,Alcohol use brief intervention provided or offered,Not Available,Tobacco use treatment provided or offered,Not Available,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,50,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"840 NORTH OAK AVENUE RULEVILLE, MS 38771 (33.734839, -90.546823)"
440016,BAPTIST MEMORIAL HOSPITAL - CARROLL COUNTY,631 RB WILSON DR,HUNTINGDON,TN,38344,CARROLL,Hours of physical-restraint use,0,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Alcohol use brief intervention provided or offered,Not Available,Tobacco use treatment provided or offered,23,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"631 RB WILSON DR HUNTINGDON, TN 38344 (36.023041, -88.413492)"
134002,INTERMOUNTAIN HOSPITAL,303 NORTH ALLUMBAUGH STREET,BOISE,ID,83704,ADA,Hours of physical-restraint use,19.36,Hours of seclusion use,12.65,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Alcohol use brief intervention provided or offered,187,Tobacco use treatment provided or offered,259,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,53.5,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Better Than the National Rate,"303 NORTH ALLUMBAUGH STREET BOISE, ID 83704 (43.607293, -116.266232)"
454133,CROSS CREEK HOSPITAL,8402 CROSS PARK DRIVE,AUSTIN,TX,78754,TRAVIS,Hours of physical-restraint use,13.62,Hours of seclusion use,52.07,Patients discharged on multiple antipsychotic medications with appropriate justification,35,Alcohol use brief intervention provided or offered,53,Tobacco use treatment provided or offered,111,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,39,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"8402 CROSS PARK DRIVE AUSTIN, TX 78754 (30.33838, -97.67653)"
70004,SHARON HOSPITAL,50 HOSPITAL HILL ROAD,SHARON,CT,6069,LITCHFIELD,Hours of physical-restraint use,0.06,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Alcohol use brief intervention provided or offered,Not Available,Tobacco use treatment provided or offered,17,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,66.7,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"50 HOSPITAL HILL ROAD SHARON, CT 06069 (41.879662, -73.481572)"
114028,GEORGIA REGIONAL HOSP SAVANNAH,1915 EISENHOWER DRIVE,SAVANNAH,GA,31416,CHATHAM,Hours of physical-restraint use,8.97,Hours of seclusion use,23.42,Patients discharged on multiple antipsychotic medications with appropriate justification,154,Alcohol use brief intervention provided or offered,119,Tobacco use treatment provided or offered,439,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,37.9,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"1915 EISENHOWER DRIVE SAVANNAH, GA 31416 (32.001255, -81.081663)"
420036,MUSC HEALTH LANCASTER MEDICAL CENTER,800 W MEETING ST,LANCASTER,SC,29720,LANCASTER,Hours of physical-restraint use,33.45,Hours of seclusion use,67.06,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Alcohol use brief intervention provided or offered,15,Tobacco use treatment provided or offered,67,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,51.4,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"800 W MEETING ST LANCASTER, SC 29720 (34.716906, -80.786842)"
174020,COTTONWOOD SPRINGS LLC,13351 S ARAPAHO DRIVE,OLATHE,KS,66062,JOHNSON,Hours of physical-restraint use,21.9,Hours of seclusion use,16.07,Patients discharged on multiple antipsychotic medications with appropriate justification,68,Alcohol use brief intervention provided or offered,971,Tobacco use treatment provided or offered,1500,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,70,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"13351 S ARAPAHO DRIVE OLATHE, KS 66062 (38.885884, -94.768837)"
44007,RIVENDELL BEHAVIORAL HEALTH SERVICES OF ARKANSAS,100 RIVENDELL DRIVE,BENTON,AR,72019,SALINE,Hours of physical-restraint use,23.25,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,12,Alcohol use brief intervention provided or offered,31,Tobacco use treatment provided or offered,167,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,41.5,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"100 RIVENDELL DRIVE BENTON, AR 72019 (34.612042, -92.530571)"
340120,VIDANT DUPLIN HOSPITAL,401 N MAIN ST,KENANSVILLE,NC,28349,DUPLIN,Hours of physical-restraint use,5.5,Hours of seclusion use,27.95,Patients discharged on multiple antipsychotic medications with appropriate justification,47,Alcohol use brief intervention provided or offered,125,Tobacco use treatment provided or offered,407,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,42.1,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"401 N MAIN ST KENANSVILLE, NC 28349 (34.964769, -77.960479)"
230047,HENRY FORD MACOMB HOSPITAL,15855 NINETEEN MILE RD,CLINTON TOWNSHIP,MI,48038,MACOMB,Hours of physical-restraint use,31.9,Hours of seclusion use,45.57,Patients discharged on multiple antipsychotic medications with appropriate justification,52,Alcohol use brief intervention provided or offered,105,Tobacco use treatment provided or offered,327,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,61.9,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"15855 NINETEEN MILE RD CLINTON TOWNSHIP, MI 48038 (42.612671, -82.963405)"
340001,CAROLINAS MEDICAL CENTER-NORTHEAST,920 CHURCH ST N,CONCORD,NC,28025,CABARRUS,Hours of physical-restraint use,0.28,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Alcohol use brief intervention provided or offered,Not Available,Tobacco use treatment provided or offered,17,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"920 CHURCH ST N CONCORD, NC 28025 (35.434313, -80.603088)"
250093,BOLIVAR MEDICAL CENTER,901 E SUNFLOWER RD,CLEVELAND,MS,38732,BOLIVAR,Hours of physical-restraint use,0,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,21,Alcohol use brief intervention provided or offered,Not Available,Tobacco use treatment provided or offered,34,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,52.4,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"901 E SUNFLOWER RD CLEVELAND, MS 38732 (33.747471, -90.708128)"
340061,UNIVERSITY OF NORTH CAROLINA HOSPITAL,101 MANNING DRIVE,CHAPEL HILL,NC,27514,ORANGE,Hours of physical-restraint use,66.95,Hours of seclusion use,242.36,Patients discharged on multiple antipsychotic medications with appropriate justification,24,Alcohol use brief intervention provided or offered,92,Tobacco use treatment provided or offered,107,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,52.2,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Better Than the National Rate,"101 MANNING DRIVE CHAPEL HILL, NC 27514 (35.903551, -79.051894)"
364058,SUN BEHAVIORAL COLUMBUS,900 EAST DUBLIN GRANVILLE ROAD,COLUMBUS,OH,43229,FRANKLIN,Hours of physical-restraint use,2.02,Hours of seclusion use,1.23,Patients discharged on multiple antipsychotic medications with appropriate justification,22,Alcohol use brief intervention provided or offered,83,Tobacco use treatment provided or offered,202,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,42,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"900 EAST DUBLIN GRANVILLE ROAD COLUMBUS, OH 43229 (40.088094, -82.993801)"
394020,PHILHAVEN HOSPITAL,283 SOUTH BUTLER ROAD,MT GRETNA,PA,17064,LEBANON,Hours of physical-restraint use,66,Hours of seclusion use,198,Patients discharged on multiple antipsychotic medications with appropriate justification,12,Alcohol use brief intervention provided or offered,55,Tobacco use treatment provided or offered,207,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,60.5,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"283 SOUTH BUTLER ROAD MT GRETNA, PA 17064 (40.268505, -76.461287)"
110015,TANNER MEDICAL CENTER VILLA RICA,601 DALLAS HIGHWAY,VILLA RICA,GA,30180,CARROLL,Hours of physical-restraint use,31.32,Hours of seclusion use,3.18,Patients discharged on multiple antipsychotic medications with appropriate justification,26,Alcohol use brief intervention provided or offered,122,Tobacco use treatment provided or offered,419,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,40,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Worse Than the National Rate,"601 DALLAS HIGHWAY VILLA RICA, GA 30180 (33.742992, -84.919477)"
450054,BAYLOR SCOTT & WHITE PAVILION - TEMPLE,2401 S  31ST ST,TEMPLE,TX,76508,BELL,Hours of physical-restraint use,0.06,Hours of seclusion use,0.03,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Alcohol use brief intervention provided or offered,70,Tobacco use treatment provided or offered,135,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,50,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"2401 S  31ST ST TEMPLE, TX 76508 (31.078693, -97.365938)"
310057,VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY,175 MADISON AVE,MOUNT HOLLY,NJ,8060,BURLINGTON,Hours of physical-restraint use,48.8,Hours of seclusion use,68.67,Patients discharged on multiple antipsychotic medications with appropriate justification,16,Alcohol use brief intervention provided or offered,97,Tobacco use treatment provided or offered,204,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,44.1,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"175 MADISON AVE MOUNT HOLLY, NJ 08060 (39.985698, -74.795832)"
230132,HURLEY MEDICAL CENTER,ONE HURLEY PLAZA,FLINT,MI,48503,GENESEE,Hours of physical-restraint use,130.53,Hours of seclusion use,323.02,Patients discharged on multiple antipsychotic medications with appropriate justification,20,Alcohol use brief intervention provided or offered,78,Tobacco use treatment provided or offered,349,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,47.6,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,
330088,STONY BROOK EASTERN LONG ISLAND HOSPITAL,201 MANOR PLACE,GREENPORT,NY,11944,SUFFOLK,Hours of physical-restraint use,5.83,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,18,Alcohol use brief intervention provided or offered,143,Tobacco use treatment provided or offered,309,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,63.4,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"201 MANOR PLACE GREENPORT, NY 11944 (41.110951, -72.361459)"
390044,READING HOSPITAL,420 S 5TH AVENUE,WEST READING,PA,19611,BERKS,Hours of physical-restraint use,216.63,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,25,Alcohol use brief intervention provided or offered,41,Tobacco use treatment provided or offered,124,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,52.8,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Better Than the National Rate,"420 S 5TH AVENUE WEST READING, PA 19611 (40.329863, -75.948059)"
310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,BERGEN,Hours of physical-restraint use,27.53,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Alcohol use brief intervention provided or offered,99,Tobacco use treatment provided or offered,55,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,63.7,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"30 PROSPECT AVE HACKENSACK, NJ 07601 (40.884032, -74.057954)"
234011,HENRY FORD KINGSWOOD HOSPITAL,10300 W EIGHT MILE ROAD,FERNDALE,MI,48220,OAKLAND,Hours of physical-restraint use,66.78,Hours of seclusion use,102.45,Patients discharged on multiple antipsychotic medications with appropriate justification,15,Alcohol use brief intervention provided or offered,97,Tobacco use treatment provided or offered,265,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,46,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Worse Than the National Rate,"10300 W EIGHT MILE ROAD FERNDALE, MI 48220 (42.445857, -83.164677)"
350011,SANFORD MEDICAL CENTER FARGO,801 BROADWAY NORTH,FARGO,ND,58122,CASS,Hours of physical-restraint use,16.93,Hours of seclusion use,703.24,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Alcohol use brief intervention provided or offered,133,Tobacco use treatment provided or offered,197,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,71.6,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"801 BROADWAY NORTH FARGO, ND 58122 (46.88468, -96.78773)"
70016,SAINT MARY'S HOSPITAL,56 FRANKLIN STEET,WATERBURY,CT,6706,NEW HAVEN,Hours of physical-restraint use,24.23,Hours of seclusion use,4.83,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Alcohol use brief intervention provided or offered,41,Tobacco use treatment provided or offered,154,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,50,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,
260061,NEVADA REGIONAL MEDICAL CENTER,800 S ASH ST,NEVADA,MO,64772,VERNON,Hours of physical-restraint use,0,Hours of seclusion use,0,Patients discharged on multiple antipsychotic medications with appropriate justification,19,Alcohol use brief intervention provided or offered,133,Tobacco use treatment provided or offered,390,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,54.5,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"800 S ASH ST NEVADA, MO 64772 (37.830534, -94.359703)"
440039,VANDERBILT UNIVERSITY MEDICAL CENTER,1211 MEDICAL CENTER DRIVE,NASHVILLE,TN,37232,DAVIDSON,Hours of physical-restraint use,111.68,Hours of seclusion use,278.64,Patients discharged on multiple antipsychotic medications with appropriate justification,Not Available,Alcohol use brief intervention provided or offered,99,Tobacco use treatment provided or offered,168,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,58.6,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"1211 MEDICAL CENTER DRIVE NASHVILLE, TN 37232 (36.142832, -86.800174)"
334002,FOUR WINDS,800 CROSS RIVER RD,KATONAH,NY,10536,WESTCHESTER,Hours of physical-restraint use,157.13,Hours of seclusion use,3256.7,Patients discharged on multiple antipsychotic medications with appropriate justification,128,Alcohol use brief intervention provided or offered,278,Tobacco use treatment provided or offered,300,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,91.2,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"800 CROSS RIVER RD KATONAH, NY 10536 (41.26335, -73.621768)"
244014,COMMUNITY BEHAVIORAL HEALTH HOSPITAL - BEMIDJI,800 BEMIDJI AVENUE NORTH SUITE 200,BEMIDJI,MN,56601,BELTRAMI,Hours of physical-restraint use,19.77,Hours of seclusion use,2.06,Patients discharged on multiple antipsychotic medications with appropriate justification,28,Alcohol use brief intervention provided or offered,51,Tobacco use treatment provided or offered,79,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,52.6,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"800 BEMIDJI AVENUE NORTH SUITE 200 BEMIDJI, MN 56601 (47.476067, -94.879684)"
334061,MID HUDSON FORENSIC PSYCHIATRIC CTR,BOX 158 ROUTE 17M,NEW HAMPTON,NY,10958,ORANGE,Hours of physical-restraint use,367.3,Hours of seclusion use,4.05,Patients discharged on multiple antipsychotic medications with appropriate justification,40,Alcohol use brief intervention provided or offered,Not Available,Tobacco use treatment provided or offered,Not Available,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,Not Available,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Number of Cases Too Small,
330047,ST MARY'S HEALTHCARE,427 GUY PARK AVENUE,AMSTERDAM,NY,12010,MONTGOMERY,Hours of physical-restraint use,Not Available,Hours of seclusion use,Not Available,Patients discharged on multiple antipsychotic medications with appropriate justification,49,Alcohol use brief intervention provided or offered,265,Tobacco use treatment provided or offered,377,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,74,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"427 GUY PARK AVENUE AMSTERDAM, NY 12010 (42.953648, -74.216041)"
490122,INOVA MOUNT VERNON HOSPITAL,2501 PARKERS LANE,ALEXANDRIA,VA,22306,FAIRFAX,Hours of physical-restraint use,0,Hours of seclusion use,100,Patients discharged on multiple antipsychotic medications with appropriate justification,12,Alcohol use brief intervention provided or offered,58,Tobacco use treatment provided or offered,236,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,53.5,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different Than the National Rate,"2501 PARKERS LANE ALEXANDRIA, VA 22306 (38.740184, -77.07479)"
